unit_id,recording_id,utterance_index,duration,word_count,baseline_wer,adapted_wer,wer_delta,improved,teacher_selected_wer,teacher_accepted_updates,teacher_skipped_updates,mean_vote_count,mean_vote_fraction
BarrySchwartz_2005G:0086:967.94-991.51,BarrySchwartz_2005G,86,23.569999999999936,67,0.029850746268656716,0.029850746268656716,0.0,False,,0,6,,
BarrySchwartz_2005G:0087:991.51-998.70,BarrySchwartz_2005G,87,7.190000000000055,18,0.05555555555555555,0.05555555555555555,0.0,False,,0,3,,
BarrySchwartz_2005G:0088:998.70-1006.15,BarrySchwartz_2005G,88,7.449999999999932,19,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0089:1006.15-1014.31,BarrySchwartz_2005G,89,8.159999999999968,20,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0090:1014.31-1026.31,BarrySchwartz_2005G,90,12.0,42,0.023809523809523808,0.023809523809523808,0.0,False,,0,3,,
BarrySchwartz_2005G:0091:1026.31-1036.51,BarrySchwartz_2005G,91,10.200000000000045,28,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0092:1036.51-1045.00,BarrySchwartz_2005G,92,8.490000000000009,22,0.045454545454545456,0.045454545454545456,0.0,False,,0,3,,
BarrySchwartz_2005G:0093:1045.00-1054.76,BarrySchwartz_2005G,93,9.759999999999991,33,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0094:1054.83-1065.67,BarrySchwartz_2005G,94,10.840000000000146,26,0.11538461538461539,0.11538461538461539,0.0,False,,0,3,,
BarrySchwartz_2005G:0095:1066.90-1070.78,BarrySchwartz_2005G,95,3.8799999999998818,6,0.5,0.5,0.0,False,,0,3,,
BarrySchwartz_2005G:0096:1070.78-1083.08,BarrySchwartz_2005G,96,12.299999999999955,34,0.08823529411764706,0.08823529411764706,0.0,False,,0,3,,
BarrySchwartz_2005G:0097:1083.08-1094.45,BarrySchwartz_2005G,97,11.370000000000118,29,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0098:1094.45-1105.03,BarrySchwartz_2005G,98,10.579999999999927,29,0.13793103448275862,0.13793103448275862,0.0,False,,0,3,,
BarrySchwartz_2005G:0099:1105.03-1112.79,BarrySchwartz_2005G,99,7.759999999999991,18,0.16666666666666666,0.16666666666666666,0.0,False,,0,3,,
BarrySchwartz_2005G:0100:1112.79-1121.92,BarrySchwartz_2005G,100,9.13000000000011,27,0.18518518518518517,0.18518518518518517,0.0,False,,0,3,,
BarrySchwartz_2005G:0101:1122.95-1131.51,BarrySchwartz_2005G,101,8.559999999999945,34,0.029411764705882353,0.029411764705882353,0.0,False,,0,3,,
BarrySchwartz_2005G:0102:1131.51-1143.08,BarrySchwartz_2005G,102,11.569999999999936,29,0.13793103448275862,0.13793103448275862,0.0,False,,0,3,,
BarrySchwartz_2005G:0103:1143.08-1150.08,BarrySchwartz_2005G,103,7.0,13,0.23076923076923078,0.23076923076923078,0.0,False,,0,3,,
BarrySchwartz_2005G:0104:1150.08-1158.42,BarrySchwartz_2005G,104,8.340000000000146,18,0.1111111111111111,0.1111111111111111,0.0,False,,0,3,,
